"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Texas"	"48"	"2017"	"2017"	734	10134466	7.2
	"Texas"	"48"	"2018"	"2018"	709	10194178	7.0
	"Texas"	"48"	"2019"	"2019"	807	10213110	7.9
	"Utah"	"49"	"2016"	"2016"	76	1265056	6.0
	"Utah"	"49"	"2017"	"2017"	85	1272360	6.7
	"Utah"	"49"	"2018"	"2018"	78	1288772	6.1
	"Utah"	"49"	"2019"	"2019"	81	1293263	6.3
	"Virginia"	"51"	"2016"	"2016"	213	2682330	7.9
	"Virginia"	"51"	"2017"	"2017"	214	2674111	8.0
	"Virginia"	"51"	"2018"	"2018"	241	2674839	9.0
	"Virginia"	"51"	"2019"	"2019"	208	2659045	7.8
	"Washington"	"53"	"2016"	"2016"	113	2290692	4.9
	"Washington"	"53"	"2017"	"2017"	145	2298685	6.3
	"Washington"	"53"	"2018"	"2018"	158	2320731	6.8
	"Washington"	"53"	"2019"	"2019"	122	2321569	5.3
	"West Virginia"	"54"	"2016"	"2016"	46	536703	8.6
	"West Virginia"	"54"	"2017"	"2017"	31	528323	5.9
	"West Virginia"	"54"	"2018"	"2018"	39	521009	7.5
	"West Virginia"	"54"	"2019"	"2019"	47	513353	9.2
	"Wisconsin"	"55"	"2016"	"2016"	134	1849554	7.2
	"Wisconsin"	"55"	"2017"	"2017"	110	1839857	6.0
	"Wisconsin"	"55"	"2018"	"2018"	99	1827868	5.4
	"Wisconsin"	"55"	"2019"	"2019"	100	1812667	5.5
	"Wyoming"	"56"	"2016"	"2016"	11	194089	Unreliable
	"Wyoming"	"56"	"2017"	"2017"	16	189022	Unreliable
	"Wyoming"	"56"	"2018"	"2018"	23	187142	12.3
	"Wyoming"	"56"	"2019"	"2019"	23	186255	12.3
"---"
"Dataset: Underlying Cause of Death, 1999-2019"
"Query Parameters:"
"ICD-10 113 Cause List: Accidental discharge of firearms (W32-W34); Intentional self-harm (suicide) by discharge of firearms"
"(X72-X74); Assault (homicide) by discharge of firearms (*U01.4,X93-X95); Discharge of firearms, undetermined intent (Y22-Y24)"
"Ten-Year Age Groups: < 1 year; 1-4 years; 5-14 years; 15-24 years"
"Year/Month: 2016; 2017; 2018; 2019"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Mar 24, 2021 6:19:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Mar 24, 2021 6:19:23 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"4. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for"
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS"
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The"
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal"
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,"
"2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident population, from the Vintage 2011"
"postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for the infant age"
"groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
