"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate
	"Alabama"	"01"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Bronchopneumonia, unspecified"	"J18.0"	26	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Pneumonia, unspecified"	"J18.9"	114	28496755	0.40	0.04	0.40
	"Alabama"	"01"	"Acute bronchiolitis, unspecified"	"J21.9"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Bronchitis, not specified as acute or chronic"	"J40"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Predominantly allergic asthma"	"J45.0"	37	28496755	0.13	0.02	0.13
	"Alabama"	"01"	"Asthma, unspecified"	"J45.9"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Status asthmaticus"	"J46"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Pneumonitis due to food and vomit"	"J69.0"	19	28496755	0.07 (Unreliable)	0.02	0.07 (Unreliable)
	"Alabama"	"01"	"Adult respiratory distress syndrome"	"J80"	24	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Interstitial pulmonary disease, unspecified"	"J84.9"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Respiratory failure, unspecified"	"J96.9"	33	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Other disorders of lung"	"J98.4"	84	28496755	0.29	0.03	0.30
	"Alabama"	"01"	"Other specified respiratory disorders"	"J98.8"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Diaphragmatic hernia without obstruction or gangrene"	"K44.9"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	57	28496755	0.20	0.03	0.21
	"Alabama"	"01"	"Acute vascular disorders of intestine"	"K55.0"	60	28496755	0.21	0.03	0.22
	"Alabama"	"01"	"Volvulus"	"K56.2"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Other and unspecified intestinal obstruction"	"K56.6"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Perforation of intestine (nontraumatic)"	"K63.1"	13	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Hepatic failure, unspecified"	"K72.9"	45	28496755	0.16	0.02	0.16
	"Alabama"	"01"	"Blind loop syndrome, not elsewhere classified"	"K90.2"	16	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Discoid lupus erythematosus"	"L93.0"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Systemic lupus erythematosus with organ or system involvement"	"M32.1"	30	28496755	0.11	0.02	0.10
	"Alabama"	"01"	"Acute renal failure, unspecified"	"N17.9"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"End-stage renal disease"	"N18.0"	18	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Unspecified renal failure"	"N19"	80	28496755	0.28	0.03	0.29
	"Alabama"	"01"	"Urinary tract infection, site not specified"	"N39.0"	10	28496755	0.04 (Unreliable)	0.01	0.03 (Unreliable)
	"Alabama"	"01"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	18	28496755	0.06 (Unreliable)	0.01	0.07 (Unreliable)
	"Alabama"	"01"	"Newborn affected by incompetent cervix"	"P01.0"	97	28496755	0.34	0.03	0.35
	"Alabama"	"01"	"Newborn affected by premature rupture of membranes"	"P01.1"	193	28496755	0.68	0.05	0.70
	"Alabama"	"01"	"Newborn affected by oligohydramnios"	"P01.2"	33	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Newborn affected by multiple pregnancy"	"P01.5"	43	28496755	0.15	0.02	0.16
	"Alabama"	"01"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	37	28496755	0.13	0.02	0.13
	"Alabama"	"01"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	103	28496755	0.36	0.04	0.37
	"Alabama"	"01"	"Newborn affected by placental transfusion syndromes"	"P02.3"	19	28496755	0.07 (Unreliable)	0.02	0.07 (Unreliable)
	"Alabama"	"01"	"Newborn affected by chorioamnionitis"	"P02.7"	107	28496755	0.38	0.04	0.39
	"Alabama"	"01"	"Newborn affected by complication of labour and delivery, unspecified"	"P03.9"	18	28496755	0.06 (Unreliable)	0.01	0.07 (Unreliable)
	"Alabama"	"01"	"Slow fetal growth, unspecified"	"P05.9"	19	28496755	0.07 (Unreliable)	0.02	0.07 (Unreliable)
	"Alabama"	"01"	"Extremely low birth weight"	"P07.0"	43	28496755	0.15	0.02	0.16
	"Alabama"	"01"	"Extreme immaturity"	"P07.2"	1271	28496755	4.46	0.13	4.62
	"Alabama"	"01"	"Other preterm infants"	"P07.3"	276	28496755	0.97	0.06	1.00
	"Alabama"	"01"	"Intrauterine hypoxia, unspecified"	"P20.9"	70	28496755	0.25	0.03	0.25
	"Alabama"	"01"	"Birth asphyxia, unspecified"	"P21.9"	81	28496755	0.28	0.03	0.29
	"Alabama"	"01"	"Respiratory distress syndrome of newborn"	"P22.0"	398	28496755	1.40	0.07	1.45
	"Alabama"	"01"	"Respiratory distress of newborn, unspecified"	"P22.9"	27	28496755	0.09	0.02	0.10
	"Alabama"	"01"	"Congenital pneumonia, unspecified"	"P23.9"	24	28496755	0.08	0.02	0.09
	"Alabama"	"01"	"Neonatal aspiration of meconium"	"P24.0"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Interstitial emphysema originating in the perinatal period"	"P25.0"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Pneumothorax originating in the perinatal period"	"P25.1"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	113	28496755	0.40	0.04	0.41
	"Alabama"	"01"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	146	28496755	0.51	0.04	0.53
	"Alabama"	"01"	"Primary atelectasis of newborn"	"P28.0"	132	28496755	0.46	0.04	0.48
	"Alabama"	"01"	"Neonatal cardiac failure"	"P29.0"	105	28496755	0.37	0.04	0.38
	"Alabama"	"01"	"Neonatal cardiac dysrhythmia"	"P29.1"	110	28496755	0.39	0.04	0.40
	"Alabama"	"01"	"Persistent fetal circulation"	"P29.3"	26	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Congenital cytomegalovirus infection"	"P35.1"	16	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Congenital herpesviral [herpes simplex] infection"	"P35.2"	24	28496755	0.08	0.02	0.09
	"Alabama"	"01"	"Sepsis of newborn due to streptococcus, group B"	"P36.0"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Sepsis of newborn due to Escherichia coli"	"P36.4"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Other bacterial sepsis of newborn"	"P36.8"	22	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	293	28496755	1.03	0.06	1.07
	"Alabama"	"01"	"Neonatal candidiasis"	"P37.5"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Infection specific to the perinatal period, unspecified"	"P39.9"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	105	28496755	0.37	0.04	0.38
	"Alabama"	"01"	"Intracranial (nontraumatic) haemorrhage of newborn, unspecified"	"P52.9"	48	28496755	0.17	0.02	0.17
	"Alabama"	"01"	"Neonatal haemorrhage, unspecified"	"P54.9"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Disseminated intravascular coagulation of newborn"	"P60"	18	28496755	0.06 (Unreliable)	0.01	0.07 (Unreliable)
	"Alabama"	"01"	"Other congenital anaemias, not elsewhere classified"	"P61.4"	25	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Necrotizing enterocolitis of newborn"	"P77"	217	28496755	0.76	0.05	0.79
	"Alabama"	"01"	"Perinatal intestinal perforation"	"P78.0"	38	28496755	0.13	0.02	0.14
	"Alabama"	"01"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	43	28496755	0.15	0.02	0.16
	"Alabama"	"01"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	19	28496755	0.07 (Unreliable)	0.02	0.07 (Unreliable)
	"Alabama"	"01"	"Congenital renal failure"	"P96.0"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Termination of pregnancy, newborn"	"P96.4"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Condition originating in the perinatal period, unspecified"	"P96.9"	13	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Anencephaly"	"Q00.0"	90	28496755	0.32	0.03	0.33
	"Alabama"	"01"	"Microcephaly"	"Q02"	18	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Congenital hydrocephalus, unspecified"	"Q03.9"	34	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Holoprosencephaly"	"Q04.2"	45	28496755	0.16	0.02	0.16
	"Alabama"	"01"	"Other reduction deformities of brain"	"Q04.3"	36	28496755	0.13	0.02	0.13
	"Alabama"	"01"	"Congenital malformation of brain, unspecified"	"Q04.9"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Spina bifida, unspecified"	"Q05.9"	25	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Discordant ventriculoarterial connection"	"Q20.3"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Ventricular septal defect"	"Q21.0"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Atrioventricular septal defect"	"Q21.2"	18	28496755	0.06 (Unreliable)	0.01	0.07 (Unreliable)
	"Alabama"	"01"	"Tetralogy of Fallot"	"Q21.3"	38	28496755	0.13	0.02	0.14
	"Alabama"	"01"	"Hypoplastic left heart syndrome"	"Q23.4"	99	28496755	0.35	0.03	0.36
	"Alabama"	"01"	"Other specified congenital malformations of heart"	"Q24.8"	16	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Congenital malformation of heart, unspecified"	"Q24.9"	309	28496755	1.08	0.06	1.11
	"Alabama"	"01"	"Patent ductus arteriosus"	"Q25.0"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Atresia of pulmonary artery"	"Q25.5"	13	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Hypoplasia and dysplasia of lung"	"Q33.6"	133	28496755	0.47	0.04	0.48
	"Alabama"	"01"	"Renal agenesis, unspecified"	"Q60.2"	53	28496755	0.19	0.03	0.19
	"Alabama"	"01"	"Potter syndrome"	"Q60.6"	35	28496755	0.12	0.02	0.13
	"Alabama"	"01"	"Polycystic kidney, unspecified"	"Q61.3"	25	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Renal dysplasia"	"Q61.4"	18	28496755	0.06 (Unreliable)	0.01	0.07 (Unreliable)
	"Alabama"	"01"	"Thanatophoric short stature"	"Q77.1"	16	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Osteogenesis imperfecta"	"Q78.0"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Osteochondrodysplasia, unspecified"	"Q78.9"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Congenital diaphragmatic hernia"	"Q79.0"	105	28496755	0.37	0.04	0.38
	"Alabama"	"01"	"Exomphalos"	"Q79.2"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Gastroschisis"	"Q79.3"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Congenital malformation syndromes predominantly associated with short stature"	"Q87.1"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Other specified congenital malformation syndromes, not elsewhere classified"	"Q87.8"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Conjoined twins"	"Q89.4"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	95	28496755	0.33	0.03	0.35
	"Alabama"	"01"	"Other specified congenital malformations"	"Q89.8"	16	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Congenital malformation, unspecified"	"Q89.9"	51	28496755	0.18	0.03	0.18
	"Alabama"	"01"	"Down syndrome, unspecified"	"Q90.9"	26	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Edwards syndrome, unspecified"	"Q91.3"	162	28496755	0.57	0.04	0.59
	"Alabama"	"01"	"Patau syndrome, unspecified"	"Q91.7"	101	28496755	0.35	0.04	0.37
	"Alabama"	"01"	"Other specified trisomies and partial trisomies of autosomes"	"Q92.8"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Chromosomal abnormality, unspecified"	"Q99.9"	19	28496755	0.07 (Unreliable)	0.02	0.07 (Unreliable)
	"Alabama"	"01"	"Asphyxia"	"R09.0"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Respiratory arrest"	"R09.2"	36	28496755	0.13	0.02	0.13
	"Alabama"	"01"	"Other and unspecified convulsions"	"R56.8"	85	28496755	0.30	0.03	0.29
	"Alabama"	"01"	"Other lack of expected normal physiological development"	"R62.8"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Sudden infant death syndrome - SIDS"	"R95"	782	28496755	2.74	0.10	2.84
	"Alabama"	"01"	"Instantaneous death"	"R96.0"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Other ill-defined and unspecified causes of mortality"	"R99"	1206	28496755	4.23	0.12	4.28
	"Alabama"	"01"	"Pedestrian injured in collision with car, pick-up truck or van, nontraffic accident"	"V03.0"	22	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Pedestrian injured in collision with car, pick-up truck or van, traffic accident"	"V03.1"	107	28496755	0.38	0.04	0.37
	"Alabama"	"01"	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Unspecified whether traffic or nontraffic accident"	"V05.9"	16	28496755	0.06 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	27	28496755	0.09	0.02	0.10
	"Alabama"	"01"	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	140	28496755	0.49	0.04	0.48
	"Alabama"	"01"	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	35	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	18	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	17	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	82	28496755	0.29	0.03	0.27
	"Alabama"	"01"	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	48	28496755	0.17	0.02	0.16
