"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"2017"	"2017"	291	3145711	9.3
	"Iowa"	"19"	"2018"	"2018"	281	3156145	8.9
	"Iowa"	"19"	"2019"	"2019"	290	3155070	9.2
	"Kansas"	"20"	"2016"	"2016"	381	2907289	13.1
	"Kansas"	"20"	"2017"	"2017"	463	2913123	15.9
	"Kansas"	"20"	"2018"	"2018"	423	2911505	14.5
	"Kansas"	"20"	"2019"	"2019"	397	2913314	13.6
	"Kentucky"	"21"	"2016"	"2016"	757	4436974	17.1
	"Kentucky"	"21"	"2017"	"2017"	718	4454189	16.1
	"Kentucky"	"21"	"2018"	"2018"	754	4468402	16.9
	"Kentucky"	"21"	"2019"	"2019"	675	4467673	15.1
	"Louisiana"	"22"	"2016"	"2016"	985	4681666	21.0
	"Louisiana"	"22"	"2017"	"2017"	997	4684333	21.3
	"Louisiana"	"22"	"2018"	"2018"	987	4659978	21.2
	"Louisiana"	"22"	"2019"	"2019"	1006	4648794	21.6
	"Maine"	"23"	"2016"	"2016"	122	1331479	9.2
	"Maine"	"23"	"2017"	"2017"	165	1335907	12.4
	"Maine"	"23"	"2018"	"2018"	157	1338404	11.7
	"Maine"	"23"	"2019"	"2019"	160	1344212	11.9
	"Maryland"	"24"	"2016"	"2016"	690	6016447	11.5
	"Maryland"	"24"	"2017"	"2017"	733	6052177	12.1
	"Maryland"	"24"	"2018"	"2018"	697	6042718	11.5
	"Maryland"	"24"	"2019"	"2019"	740	6045680	12.2
	"Massachusetts"	"25"	"2016"	"2016"	231	6811779	3.4
	"Massachusetts"	"25"	"2017"	"2017"	258	6859819	3.8
	"Massachusetts"	"25"	"2018"	"2018"	256	6902149	3.7
	"Massachusetts"	"25"	"2019"	"2019"	242	6892503	3.5
	"Michigan"	"26"	"2016"	"2016"	1225	9928300	12.3
	"Michigan"	"26"	"2017"	"2017"	1133	9962311	11.4
	"Michigan"	"26"	"2018"	"2018"	1301	9995915	13.0
	"Michigan"	"26"	"2019"	"2019"	1213	9986857	12.1
	"Minnesota"	"27"	"2016"	"2016"	422	5519952	7.6
	"Minnesota"	"27"	"2017"	"2017"	456	5576606	8.2
	"Minnesota"	"27"	"2018"	"2018"	426	5611179	7.6
	"Minnesota"	"27"	"2019"	"2019"	454	5639632	8.1
	"Mississippi"	"28"	"2016"	"2016"	581	2988726	19.4
	"Mississippi"	"28"	"2017"	"2017"	626	2984100	21.0
	"Mississippi"	"28"	"2018"	"2018"	674	2986530	22.6
	"Mississippi"	"28"	"2019"	"2019"	705	2976149	23.7
	"Missouri"	"29"	"2016"	"2016"	1135	6093000	18.6
	"Missouri"	"29"	"2017"	"2017"	1301	6113532	21.3
	"Missouri"	"29"	"2018"	"2018"	1301	6126452	21.2
	"Missouri"	"29"	"2019"	"2019"	1246	6137428	20.3
	"Montana"	"30"	"2016"	"2016"	190	1042520	18.2
	"Montana"	"30"	"2017"	"2017"	238	1050493	22.7
	"Montana"	"30"	"2018"	"2018"	182	1062305	17.1
	"Montana"	"30"	"2019"	"2019"	203	1068778	19.0
	"Nebraska"	"31"	"2016"	"2016"	164	1907116	8.6
	"Nebraska"	"31"	"2017"	"2017"	160	1920076	8.3
	"Nebraska"	"31"	"2018"	"2018"	182	1929268	9.4
	"Nebraska"	"31"	"2019"	"2019"	201	1934408	10.4
	"Nevada"	"32"	"2016"	"2016"	489	2940058	16.6
	"Nevada"	"32"	"2017"	"2017"	493	2998039	16.4
	"Nevada"	"32"	"2018"	"2018"	533	3034392	17.6
	"Nevada"	"32"	"2019"	"2019"	479	3080156	15.6
	"New Hampshire"	"33"	"2016"	"2016"	131	1334795	9.8
	"New Hampshire"	"33"	"2017"	"2017"	144	1342795	10.7
	"New Hampshire"	"33"	"2018"	"2018"	150	1356458	11.1
	"New Hampshire"	"33"	"2019"	"2019"	154	1359711	11.3
	"New Jersey"	"34"	"2016"	"2016"	482	8944469	5.4
	"New Jersey"	"34"	"2017"	"2017"	470	9005644	5.2
	"New Jersey"	"34"	"2018"	"2018"	415	8908520	4.7
	"New Jersey"	"34"	"2019"	"2019"	367	8882190	4.1
	"New Mexico"	"35"	"2016"	"2016"	367	2081015	17.6
	"New Mexico"	"35"	"2017"	"2017"	376	2088070	18.0
	"New Mexico"	"35"	"2018"	"2018"	422	2095428	20.1
	"New Mexico"	"35"	"2019"	"2019"	456	2096829	21.7
	"New York"	"36"	"2016"	"2016"	887	19745289	4.5
	"New York"	"36"	"2017"	"2017"	757	19849399	3.8
	"New York"	"36"	"2018"	"2018"	813	19542209	4.2
	"New York"	"36"	"2019"	"2019"	791	19453561	4.1
	"North Carolina"	"37"	"2016"	"2016"	1385	10146788	13.6
	"North Carolina"	"37"	"2017"	"2017"	1413	10273419	13.8
	"North Carolina"	"37"	"2018"	"2018"	1399	10383620	13.5
	"North Carolina"	"37"	"2019"	"2019"	1373	10488084	13.1
	"North Dakota"	"38"	"2016"	"2016"	90	757952	11.9
	"North Dakota"	"38"	"2017"	"2017"	102	755393	13.5
	"North Dakota"	"38"	"2018"	"2018"	89	760077	11.7
	"North Dakota"	"38"	"2019"	"2019"	93	762062	12.2
	"Ohio"	"39"	"2016"	"2016"	1509	11614373	13.0
	"Ohio"	"39"	"2017"	"2017"	1568	11658609	13.4
	"Ohio"	"39"	"2018"	"2018"	1540	11689442	13.2
	"Ohio"	"39"	"2019"	"2019"	1568	11689100	13.4
	"Oklahoma"	"40"	"2016"	"2016"	766	3923561	19.5
	"Oklahoma"	"40"	"2017"	"2017"	680	3930864	17.3
	"Oklahoma"	"40"	"2018"	"2018"	665	3943079	16.9
	"Oklahoma"	"40"	"2019"	"2019"	737	3956971	18.6
	"Oregon"	"41"	"2016"	"2016"	502	4093465	12.3
	"Oregon"	"41"	"2017"	"2017"	517	4142776	12.5
	"Oregon"	"41"	"2018"	"2018"	504	4190713	12.0
	"Oregon"	"41"	"2019"	"2019"	554	4217737	13.1
	"Pennsylvania"	"42"	"2016"	"2016"	1540	12784227	12.0
	"Pennsylvania"	"42"	"2017"	"2017"	1615	12805537	12.6
	"Pennsylvania"	"42"	"2018"	"2018"	1637	12807060	12.8
	"Pennsylvania"	"42"	"2019"	"2019"	1533	12801989	12.0
	"Rhode Island"	"44"	"2016"	"2016"	48	1056426	4.5
	"Rhode Island"	"44"	"2017"	"2017"	43	1059639	4.1
	"Rhode Island"	"44"	"2018"	"2018"	37	1057315	3.5
	"Rhode Island"	"44"	"2019"	"2019"	48	1059361	4.5
	"South Carolina"	"45"	"2016"	"2016"	887	4961119	17.9
	"South Carolina"	"45"	"2017"	"2017"	889	5024369	17.7
	"South Carolina"	"45"	"2018"	"2018"	891	5084127	17.5
	"South Carolina"	"45"	"2019"	"2019"	1006	5148714	19.5
	"South Dakota"	"46"	"2016"	"2016"	103	865454	11.9
	"South Dakota"	"46"	"2017"	"2017"	97	869666	11.2
	"South Dakota"	"46"	"2018"	"2018"	114	882235	12.9
	"South Dakota"	"46"	"2019"	"2019"	111	884659	12.5
	"Tennessee"	"47"	"2016"	"2016"	1140	6651194	17.1
	"Tennessee"	"47"	"2017"	"2017"	1229	6715984	18.3
	"Tennessee"	"47"	"2018"	"2018"	1219	6770010	18.0
	"Tennessee"	"47"	"2019"	"2019"	1257	6829174	18.4
	"Texas"	"48"	"2016"	"2016"	3318	27862596	11.9
	"Texas"	"48"	"2017"	"2017"	3476	28304596	12.3
	"Texas"	"48"	"2018"	"2018"	3483	28701845	12.1
	"Texas"	"48"	"2019"	"2019"	3631	28995881	12.5
	"Utah"	"49"	"2016"	"2016"	363	3051217	11.9
	"Utah"	"49"	"2017"	"2017"	404	3101833	13.0
	"Utah"	"49"	"2018"	"2018"	379	3161105	12.0
	"Utah"	"49"	"2019"	"2019"	388	3205958	12.1
	"Vermont"	"50"	"2016"	"2016"	76	624594	12.2
	"Vermont"	"50"	"2017"	"2017"	70	623657	11.2
	"Vermont"	"50"	"2018"	"2018"	80	626299	12.8
	"Vermont"	"50"	"2019"	"2019"	64	623989	10.3
	"Virginia"	"51"	"2016"	"2016"	1038	8411808	12.3
	"Virginia"	"51"	"2017"	"2017"	1028	8470020	12.1
	"Virginia"	"51"	"2018"	"2018"	1030	8517685	12.1
	"Virginia"	"51"	"2019"	"2019"	1019	8535519	11.9
	"Washington"	"53"	"2016"	"2016"	667	7288000	9.2
	"Washington"	"53"	"2017"	"2017"	818	7405743	11.0
	"Washington"	"53"	"2018"	"2018"	787	7535591	10.4
	"Washington"	"53"	"2019"	"2019"	814	7614893	10.7
	"West Virginia"	"54"	"2016"	"2016"	321	1831102	17.5
	"West Virginia"	"54"	"2017"	"2017"	343	1815857	18.9
	"West Virginia"	"54"	"2018"	"2018"	339	1805832	18.8
	"West Virginia"	"54"	"2019"	"2019"	294	1792147	16.4
	"Wisconsin"	"55"	"2016"	"2016"	656	5778708	11.4
	"Wisconsin"	"55"	"2017"	"2017"	608	5795483	10.5
	"Wisconsin"	"55"	"2018"	"2018"	586	5813568	10.1
	"Wisconsin"	"55"	"2019"	"2019"	589	5822434	10.1
	"Wyoming"	"56"	"2016"	"2016"	101	585501	17.3
	"Wyoming"	"56"	"2017"	"2017"	112	579315	19.3
	"Wyoming"	"56"	"2018"	"2018"	123	577737	21.3
	"Wyoming"	"56"	"2019"	"2019"	131	578759	22.6
"---"
"Dataset: Underlying Cause of Death, 1999-2019"
"Query Parameters:"
"ICD-10 113 Cause List: Accidental discharge of firearms (W32-W34); Intentional self-harm (suicide) by discharge of firearms"
"(X72-X74); Assault (homicide) by discharge of firearms (*U01.4,X93-X95); Discharge of firearms, undetermined intent (Y22-Y24)"
"Year/Month: 2016; 2017; 2018; 2019"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Mar 24, 2021 7:02:33 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2019 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2019, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Mar 24, 2021 7:02:33 PM"
"---"
Caveats:
"1. The population figures for year 2019 are bridged-race estimates of the July 1 resident population, from the Vintage 2019"
"postcensal series released by NCHS on July 9, 2020. The population figures for year 2018 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2018 postcensal series released by NCHS on June 25, 2019. The population figures for"
"year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017 postcensal series released by NCHS"
"on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for year 2015 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS on June 28, 2016. The"
"population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the Vintage 2014 postcensal"
"series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The population figures for year 2012 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal series released by NCHS on June 13,"
"2013. The population figures for year 2011 are bridged-race estimates of the July 1 resident population, from the Vintage 2011"
"postcensal series released by NCHS on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population"
"figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident population, from the revised intercensal"
"county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts."
"Population figures for 1999 are from the 1990-1999 intercensal series of July 1 estimates. Population figures for the infant age"
"groups are the number of live births. <br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from"
"previously published reports, due to use of the population estimates which were available at the time of release."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
